# 0.777288
中	CHN	丨	O/0.999771	O/0.999771	R-B/0.000229	R-I/0.000000
呼	CHN	口	R-B/0.999866	O/0.000132	R-B/0.999866	R-I/0.000002
吸	CHN	口	R-I/0.999862	O/0.000135	R-B/0.000003	R-I/0.999862
困	CHN	囗	R-I/0.999769	O/0.000209	R-B/0.000021	R-I/0.999769
难	CHN	隹	R-I/0.995813	O/0.004068	R-B/0.000120	R-I/0.995813
半	CHN	十	O/0.933188	O/0.933188	R-B/0.000125	R-I/0.066687
小	CHN	小	O/0.999839	O/0.999839	R-B/0.000002	R-I/0.000159
时	CHN	日	O/0.999984	O/0.999984	R-B/0.000003	R-I/0.000013
于	CHN	二	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
2	NUM	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
0	NUM	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
6	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
年	CHN	干	O/0.999867	O/0.999867	R-B/0.000133	R-I/0.000000
0	NUM	-	O/0.999957	O/0.999957	R-B/0.000042	R-I/0.000000
8	NUM	-	O/0.999995	O/0.999995	R-B/0.000000	R-I/0.000005
月	CHN	月	O/0.999882	O/0.999882	R-B/0.000111	R-I/0.000006
3	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
日	CHN	日	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
@	PUNC	-	O/0.999993	O/0.999993	R-B/0.000007	R-I/0.000000
1	NUM	-	O/0.999993	O/0.999993	R-B/0.000003	R-I/0.000004
2	NUM	-	O/0.999993	O/0.999993	R-B/0.000000	R-I/0.000007
:	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
0	NUM	-	O/0.999997	O/0.999997	R-B/0.000003	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
。	PUNC	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000

# 0.999998
1	NUM	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
天	CHN	大	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000

# 0.971387
下	CHN	一	R-B/0.998303	O/0.000615	R-B/0.998303	R-I/0.001081
肢	CHN	月	R-I/0.999340	O/0.000630	R-B/0.000030	R-I/0.999340
疼	CHN	疒	R-B/0.999859	O/0.000047	R-B/0.999859	R-I/0.000094
痛	CHN	疒	R-I/0.999698	O/0.000226	R-B/0.000077	R-I/0.999698
不	CHN	一	O/0.999983	O/0.999983	R-B/0.000004	R-I/0.000014
适	CHN	辶	O/0.999970	O/0.999970	R-B/0.000014	R-I/0.000017
、	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
间	CHN	门	O/0.999841	O/0.999841	R-B/0.000159	R-I/0.000000
歇	CHN	欠	O/0.999949	O/0.999949	R-B/0.000009	R-I/0.000042
性	CHN	忄	O/0.999953	O/0.999953	R-B/0.000007	R-I/0.000040
跛	CHN	足	O/0.973729	O/0.973729	R-B/0.026223	R-I/0.000048
行	CHN	行	O/0.979556	O/0.979556	R-B/0.000000	R-I/0.020444
7	NUM	-	O/0.999989	O/0.999989	R-B/0.000004	R-I/0.000008
天	CHN	大	O/0.999984	O/0.999984	R-B/0.000009	R-I/0.000007
于	CHN	二	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
2	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
0	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
6	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
2	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
6	NUM	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
@	PUNC	-	O/0.999998	O/0.999998	R-B/0.000001	R-I/0.000001
@	PUNC	-	O/0.999989	O/0.999989	R-B/0.000010	R-I/0.000002
@	PUNC	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
@	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/0.999993	O/0.999993	R-B/0.000007	R-I/0.000000
6	NUM	-	O/0.999994	O/0.999994	R-B/0.000001	R-I/0.000005
:	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
0	NUM	-	O/0.999941	O/0.999941	R-B/0.000058	R-I/0.000001
0	NUM	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/0.999985	O/0.999985	R-B/0.000015	R-I/0.000000

# 0.997448
后	CHN	口	O/0.997854	O/0.997854	R-B/0.001966	R-I/0.000180
3	NUM	-	O/0.999997	O/0.999997	R-B/0.000000	R-I/0.000003
个	CHN	丨	O/0.999992	O/0.999992	R-B/0.000005	R-I/0.000003
月	CHN	月	O/0.999603	O/0.999603	R-B/0.000395	R-I/0.000003
返	CHN	辶	O/0.999958	O/0.999958	R-B/0.000002	R-I/0.000040
院	CHN	阝	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
复	CHN	夂	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
查	CHN	木	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
。	PUNC	-	O/0.999996	O/0.999996	R-B/0.000004	R-I/0.000000

# 0.991475
下	CHN	一	R-B/0.996763	O/0.000013	R-B/0.996763	R-I/0.003225
腹	CHN	月	R-I/0.999885	O/0.000007	R-B/0.000108	R-I/0.999885
疼	CHN	疒	R-B/0.998047	O/0.000013	R-B/0.998047	R-I/0.001939
痛	CHN	疒	R-I/0.999932	O/0.000016	R-B/0.000052	R-I/0.999932
1	NUM	-	O/0.999990	O/0.999990	R-B/0.000005	R-I/0.000005
2	NUM	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
小	CHN	小	O/0.999986	O/0.999986	R-B/0.000014	R-I/0.000000
时	CHN	日	O/0.999995	O/0.999995	R-B/0.000004	R-I/0.000001
于	CHN	二	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
2	NUM	-	O/0.999992	O/0.999992	R-B/0.000008	R-I/0.000000
0	NUM	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
7	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
0	NUM	-	O/0.999878	O/0.999878	R-B/0.000121	R-I/0.000001
3	NUM	-	O/0.999956	O/0.999956	R-B/0.000000	R-I/0.000044
-	PUNC	-	O/0.999957	O/0.999957	R-B/0.000001	R-I/0.000043
0	NUM	-	O/0.999969	O/0.999969	R-B/0.000027	R-I/0.000003
8	NUM	-	O/0.999995	O/0.999995	R-B/0.000000	R-I/0.000005
;	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/0.997003	O/0.997003	R-B/0.002997	R-I/0.000000
0	NUM	-	O/0.997075	O/0.997075	R-B/0.000008	R-I/0.002916
:	PUNC	-	O/0.999985	O/0.999985	R-B/0.000000	R-I/0.000015
0	NUM	-	O/0.999991	O/0.999991	R-B/0.000004	R-I/0.000005
0	NUM	-	O/0.999998	O/0.999998	R-B/0.000000	R-I/0.000002
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
。	PUNC	-	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000

# 0.991378
下	CHN	一	R-B/0.996739	O/0.000036	R-B/0.996739	R-I/0.003224
腹	CHN	月	R-I/0.999772	O/0.000028	R-B/0.000199	R-I/0.999772
疼	CHN	疒	R-B/0.995145	O/0.000030	R-B/0.995145	R-I/0.004824
痛	CHN	疒	R-I/0.999897	O/0.000041	R-B/0.000062	R-I/0.999897
1	NUM	-	O/0.999993	O/0.999993	R-B/0.000005	R-I/0.000003
5	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
小	CHN	小	O/0.999988	O/0.999988	R-B/0.000012	R-I/0.000000
时	CHN	日	O/0.999996	O/0.999996	R-B/0.000004	R-I/0.000001
于	CHN	二	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
2	NUM	-	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
0	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
7	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/0.999996	O/0.999996	R-B/0.000003	R-I/0.000000
0	NUM	-	O/0.999997	O/0.999997	R-B/0.000003	R-I/0.000000
3	NUM	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
-	PUNC	-	O/0.999993	O/0.999993	R-B/0.000005	R-I/0.000002
-	PUNC	-	O/0.999896	O/0.999896	R-B/0.000097	R-I/0.000007
0	NUM	-	O/0.999779	O/0.999779	R-B/0.000119	R-I/0.000103
5	NUM	-	O/0.999775	O/0.999775	R-B/0.000000	R-I/0.000225
收	CHN	攵	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000

# 0.995559
下	CHN	一	R-B/0.996761	O/0.000014	R-B/0.996761	R-I/0.003225
腹	CHN	月	R-I/0.999913	O/0.000011	R-B/0.000077	R-I/0.999913
疼	CHN	疒	R-B/0.999122	O/0.000000	R-B/0.999122	R-I/0.000878
痛	CHN	疒	R-I/0.999996	O/0.000001	R-B/0.000002	R-I/0.999996
1	NUM	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
天	CHN	大	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
于	CHN	二	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
2	NUM	-	O/0.999992	O/0.999992	R-B/0.000008	R-I/0.000000
0	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
7	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
0	NUM	-	O/0.999875	O/0.999875	R-B/0.000124	R-I/0.000001
3	NUM	-	O/0.999953	O/0.999953	R-B/0.000000	R-I/0.000047
-	PUNC	-	O/0.999954	O/0.999954	R-B/0.000001	R-I/0.000045
0	NUM	-	O/0.999949	O/0.999949	R-B/0.000045	R-I/0.000006
8	NUM	-	O/0.999996	O/0.999996	R-B/0.000000	R-I/0.000004
;	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/0.999937	O/0.999937	R-B/0.000063	R-I/0.000000
8	NUM	-	O/0.999969	O/0.999969	R-B/0.000000	R-I/0.000031
:	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
4	NUM	-	O/0.999997	O/0.999997	R-B/0.000003	R-I/0.000000
0	NUM	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000

# 0.999421
疼	CHN	疒	R-B/0.999999	O/0.000001	R-B/0.999999	R-I/0.000000
痛	CHN	疒	R-I/0.999992	O/0.000008	R-B/0.000000	R-I/0.999992
1	NUM	-	O/0.999799	O/0.999799	R-B/0.000046	R-I/0.000156
0	NUM	-	O/0.999758	O/0.999758	R-B/0.000042	R-I/0.000200
天	CHN	大	O/0.999532	O/0.999532	R-B/0.000223	R-I/0.000245
2	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
0	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
6	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
8	NUM	-	O/0.999997	O/0.999997	R-B/0.000003	R-I/0.000000
-	PUNC	-	O/0.999994	O/0.999994	R-B/0.000002	R-I/0.000003
8	NUM	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
@	PUNC	-	O/0.999997	O/0.999997	R-B/0.000002	R-I/0.000002
1	NUM	-	O/0.999998	O/0.999998	R-B/0.000001	R-I/0.000000
5	NUM	-	O/0.999986	O/0.999986	R-B/0.000012	R-I/0.000002
:	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
2	NUM	-	O/0.999945	O/0.999945	R-B/0.000054	R-I/0.000001
1	NUM	-	O/0.999943	O/0.999943	R-B/0.000000	R-I/0.000057
收	CHN	攵	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/0.999981	O/0.999981	R-B/0.000019	R-I/0.000000

# 0.999951
1	NUM	-	O/0.999995	O/0.999995	R-B/0.000005	R-I/0.000000
0	NUM	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
分	CHN	刀	O/0.999997	O/0.999997	R-B/0.000002	R-I/0.000001
钟	CHN	钅	O/0.999958	O/0.999958	R-B/0.000039	R-I/0.000003
来	CHN	木	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
院	CHN	阝	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000

# 0.987130
多	CHN	夕	O/0.987417	O/0.987417	R-B/0.012583	R-I/0.000001
处	CHN	夂	O/0.998762	O/0.998762	R-B/0.000005	R-I/0.001233
疼	CHN	疒	R-B/0.999926	O/0.000002	R-B/0.999926	R-I/0.000071
痛	CHN	疒	R-I/0.999994	O/0.000001	R-B/0.000005	R-I/0.999994
伴	CHN	亻	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
头	CHN	大	R-B/1.000000	O/0.000000	R-B/1.000000	R-I/0.000000
晕	CHN	日	R-I/0.999997	O/0.000000	R-B/0.000003	R-I/0.999997
2	NUM	-	O/0.999760	O/0.999760	R-B/0.000001	R-I/0.000239
小	CHN	小	O/0.999873	O/0.999873	R-B/0.000011	R-I/0.000115
时	CHN	日	O/0.999901	O/0.999901	R-B/0.000002	R-I/0.000098
收	CHN	攵	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/0.999976	O/0.999976	R-B/0.000024	R-I/0.000000

# 0.990924
右	CHN	口	R-B/0.999551	O/0.000447	R-B/0.999551	R-I/0.000002
腰	CHN	月	R-I/0.994193	O/0.000028	R-B/0.005778	R-I/0.994193
部	CHN	阝	R-I/0.996735	O/0.003255	R-B/0.000010	R-I/0.996735
疼	CHN	疒	R-B/0.999981	O/0.000000	R-B/0.999981	R-I/0.000019
痛	CHN	疒	R-I/0.999999	O/0.000001	R-B/0.000000	R-I/0.999999
2	NUM	-	O/0.999992	O/0.999992	R-B/0.000001	R-I/0.000007
天	CHN	大	O/0.999990	O/0.999990	R-B/0.000009	R-I/0.000002
于	CHN	二	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
2	NUM	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
0	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
6	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/0.999997	O/0.999997	R-B/0.000002	R-I/0.000000
2	NUM	-	O/0.999992	O/0.999992	R-B/0.000007	R-I/0.000001
3	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
@	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
@	PUNC	-	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
1	NUM	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
5	NUM	-	O/0.999993	O/0.999993	R-B/0.000007	R-I/0.000001
:	PUNC	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
3	NUM	-	O/0.999996	O/0.999996	R-B/0.000004	R-I/0.000000
0	NUM	-	O/0.999995	O/0.999995	R-B/0.000001	R-I/0.000004
收	CHN	攵	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
。	PUNC	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000

# 0.991626
、	PUNC	-	O/0.999887	O/0.999887	R-B/0.000108	R-I/0.000005
右	CHN	口	R-B/0.999612	O/0.000301	R-B/0.999612	R-I/0.000087
膝	CHN	月	R-I/0.999657	O/0.000012	R-B/0.000332	R-I/0.999657
部	CHN	阝	R-I/0.999833	O/0.000166	R-B/0.000001	R-I/0.999833
疼	CHN	疒	R-B/0.999956	O/0.000005	R-B/0.999956	R-I/0.000038
痛	CHN	疒	R-I/0.999987	O/0.000013	R-B/0.000000	R-I/0.999987
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
伴	CHN	亻	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
头	CHN	大	R-B/0.995699	O/0.004301	R-B/0.995699	R-I/0.000001
昏	CHN	日	R-I/0.992981	O/0.006973	R-B/0.000046	R-I/0.992981
2	NUM	-	O/0.999330	O/0.999330	R-B/0.000002	R-I/0.000669
小	CHN	小	O/0.999995	O/0.999995	R-B/0.000001	R-I/0.000004
时	CHN	日	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000

# 0.999801
疼	CHN	疒	R-B/1.000000	O/0.000000	R-B/1.000000	R-I/0.000000
痛	CHN	疒	R-I/0.999985	O/0.000012	R-B/0.000002	R-I/0.999985
3	NUM	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
小	CHN	小	O/0.999996	O/0.999996	R-B/0.000004	R-I/0.000000
时	CHN	日	O/0.999976	O/0.999976	R-B/0.000023	R-I/0.000001
于	CHN	二	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000000
2	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
0	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
6	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
2	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
8	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
;	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/0.999848	O/0.999848	R-B/0.000152	R-I/0.000000
4	NUM	-	O/0.999853	O/0.999853	R-B/0.000000	R-I/0.000146
:	PUNC	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
4	NUM	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
0	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
。	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000

# 0.643461
、	PUNC	-	O/0.960540	O/0.960540	R-B/0.034912	R-I/0.004549
腹	CHN	月	R-B/0.957991	O/0.000810	R-B/0.957991	R-I/0.041200
部	CHN	阝	R-I/0.999163	O/0.000836	R-B/0.000000	R-I/0.999163
外	CHN	夕	O/0.999733	O/0.999733	R-B/0.000224	R-I/0.000043
伤	CHN	亻	O/0.999657	O/0.999657	R-B/0.000143	R-I/0.000200
后	CHN	口	O/0.999923	O/0.999923	R-B/0.000010	R-I/0.000066
疼	CHN	疒	R-B/0.990756	O/0.009175	R-B/0.990756	R-I/0.000069
痛	CHN	疒	R-I/0.989118	O/0.009744	R-B/0.001138	R-I/0.989118
头	CHN	大	R-B/0.996739	O/0.001224	R-B/0.996739	R-I/0.002036
晕	CHN	日	R-I/0.997204	O/0.002773	R-B/0.000023	R-I/0.997204
、	PUNC	-	O/0.999886	O/0.999886	R-B/0.000001	R-I/0.000113
恶	CHN	心	R-B/0.951462	O/0.048478	R-B/0.951462	R-I/0.000060
心	CHN	心	R-I/0.906545	O/0.069558	R-B/0.023898	R-I/0.906545
约	CHN	纟	O/0.772530	O/0.772530	R-B/0.000016	R-I/0.227455
2	NUM	-	O/0.998791	O/0.998791	R-B/0.000043	R-I/0.001166
小	CHN	小	O/0.999981	O/0.999981	R-B/0.000001	R-I/0.000018
时	CHN	日	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000001
于	CHN	二	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
2	NUM	-	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
0	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
6	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
1	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
2	NUM	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
-	PUNC	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
8	NUM	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
;	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
1	NUM	-	O/0.999825	O/0.999825	R-B/0.000175	R-I/0.000000
3	NUM	-	O/0.999863	O/0.999863	R-B/0.000000	R-I/0.000137
:	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
2	NUM	-	O/0.999994	O/0.999994	R-B/0.000006	R-I/0.000000
0	NUM	-	O/0.999999	O/0.999999	R-B/0.000000	R-I/0.000001
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
。	PUNC	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000

# 0.994069
鸣	CHN	鸟	O/0.999654	O/0.999654	R-B/0.000177	R-I/0.000168
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
胸	CHN	月	R-B/0.998380	O/0.001607	R-B/0.998380	R-I/0.000014
部	CHN	阝	R-I/0.998350	O/0.001648	R-B/0.000001	R-I/0.998350
、	PUNC	-	O/0.997936	O/0.997936	R-B/0.000005	R-I/0.002059
右	CHN	口	R-B/0.997629	O/0.000305	R-B/0.997629	R-I/0.002066
颧	CHN	页	R-I/0.999659	O/0.000070	R-B/0.000271	R-I/0.999659
部	CHN	阝	R-I/0.999904	O/0.000096	R-B/0.000000	R-I/0.999904
疼	CHN	疒	R-B/0.999933	O/0.000013	R-B/0.999933	R-I/0.000053
痛	CHN	疒	R-I/0.999982	O/0.000018	R-B/0.000000	R-I/0.999982
,	PUNC	-	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
头	CHN	大	R-B/0.999880	O/0.000120	R-B/0.999880	R-I/0.000000
痛	CHN	疒	R-I/0.998861	O/0.001051	R-B/0.000088	R-I/0.998861
头	CHN	大	R-B/0.999881	O/0.000000	R-B/0.999881	R-I/0.000119
晕	CHN	日	R-I/0.999891	O/0.000098	R-B/0.000011	R-I/0.999891
7	NUM	-	O/0.999976	O/0.999976	R-B/0.000000	R-I/0.000024
小	CHN	小	O/0.999992	O/0.999992	R-B/0.000003	R-I/0.000006
时	CHN	日	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
入	CHN	入	O/1.000000	O/1.000000	R-B/0.000000	R-I/0.000000
院	CHN	阝	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000
。	PUNC	-	O/0.999999	O/0.999999	R-B/0.000001	R-I/0.000000

# 0.862830
双	CHN	又	R-B/0.999891	O/0.000104	R-B/0.999891	R-I/0.000004
膝	CHN	月	R-I/0.999799	O/0.000054	R-B/0.000147	R-I/0.999799
部	CHN	阝	R-I/0.998278	O/0.001721	R-B/0.000001	R-I/0.998278
疼	CHN	疒	R-B/0.999777	O/0.000005	R-B/0.999777	R-I/0.000218
痛	CHN	疒	R-I/0.999988	O/0.000009	R-B/0.000004	R-I/0.999988
伴	CHN	亻	O/0.999994	O/0.999994	R-B/0.000000	R-I/0.000006
头	CHN	大	R-B/0.999887	O/0.000113	R-B/0.999887	R-I/0.000000
痛	CHN	疒	R-I/0.998698	O/0.000939	R-B/0.000363	R-I/0.998698
头	CHN	大	R-B/0.998187	O/0.000449	R-B/0.998187	R-I/0.001364
晕	CHN	日	R-I/0.929271	O/0.035834	R-B/0.034895	R-I/0.929271
约	CHN	纟	O/0.936722	O/0.936722	R-B/0.000005	R-I/0.063273
3	NUM	-	O/0.999998	O/0.999998	R-B/0.000000	R-I/0.000002
0	NUM	-	O/0.999998	O/0.999998	R-B/0.000002	R-I/0.000000
